Dataset,Prediction Length,MSE,MAE,model,source,model_source
ETTh1,96,0.366,0.392,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
ETTh1,192,0.422,0.421,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
ETTh1,336,0.44,0.438,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
ETTh1,720,0.463,0.462,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
ETTh1,Avg,0.422,0.428,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
ETTh2,96,0.281,0.338,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
ETTh2,192,0.355,0.387,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
ETTh2,336,0.365,0.401,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
ETTh2,720,0.413,0.436,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
ETTh2,Avg,0.353,0.391,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
Electricity,96,0.141,0.235,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
Electricity,192,0.151,0.247,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
Electricity,336,0.173,0.267,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
Electricity,720,0.201,0.293,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
Electricity,Avg,0.166,0.26,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
Weather,96,0.162,0.207,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
Weather,192,0.208,0.248,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
Weather,336,0.263,0.29,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
Weather,720,0.34,0.341,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
Weather,Avg,0.243,0.271,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
Traffic,96,0.41,0.274,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
Traffic,192,0.43,0.28,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
Traffic,336,0.449,0.29,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
Traffic,720,0.486,0.309,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
Traffic,Avg,0.444,0.289,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
Exchange,96,,,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
Exchange,192,,,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
Exchange,336,,,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
Exchange,720,,,SimpleTM,chen2025_simpletm,SimpleTM (chen2025_simpletm)
