Dataset,Prediction Length,MSE,MAE,model,source,model_source
Traffic,336,0.517,0.334,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Traffic,720,0.552,0.352,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Traffic,Avg,0.529,0.341,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Exchange,96,0.088,0.205,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Exchange,192,0.176,0.299,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Exchange,336,0.301,0.397,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Exchange,720,0.901,0.714,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Exchange,Avg,0.367,0.404,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ILI,24,,,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ILI,36,,,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ILI,48,,,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ILI,60,,,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ILI,Avg,,,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Solar-Energy,96,0.265,0.323,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Solar-Energy,192,0.288,0.332,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Solar-Energy,336,0.301,0.339,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Solar-Energy,720,0.295,0.336,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
Solar-Energy,Avg,0.287,0.333,PatchTST,wang2025_timemixer,PatchTST (wang2025_timemixer)
ETTm1,96,0.292,0.346,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ETTm1,192,0.332,0.368,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ETTm1,336,0.365,0.391,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ETTm1,720,0.416,0.417,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ETTm1,Avg,0.351,0.381,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ETTm2,96,0.166,0.256,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ETTm2,192,0.222,0.293,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ETTm2,336,0.272,0.324,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ETTm2,720,0.351,0.381,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ETTm2,Avg,0.253,0.314,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ETTh1,96,0.368,0.394,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ETTh1,192,0.405,0.413,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ETTh1,336,0.391,0.412,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ETTh1,720,0.45,0.461,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ETTh1,Avg,0.404,0.42,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ETTh2,96,0.263,0.332,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ETTh2,192,0.32,0.374,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ETTh2,336,0.313,0.376,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ETTh2,720,0.392,0.433,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ETTh2,Avg,0.322,0.379,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Electricity,96,0.129,0.226,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Electricity,192,0.143,0.239,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Electricity,336,0.161,0.259,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Electricity,720,0.191,0.286,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Electricity,Avg,0.156,0.253,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Weather,96,0.149,0.2,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Weather,192,0.196,0.245,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Weather,336,0.238,0.277,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Weather,720,0.314,0.334,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Weather,Avg,0.224,0.264,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Traffic,96,0.368,0.253,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Traffic,192,0.379,0.261,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Traffic,336,0.397,0.27,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Traffic,720,0.44,0.296,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Traffic,Avg,0.396,0.27,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Exchange,96,0.08,0.196,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Exchange,192,0.166,0.288,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Exchange,336,0.307,0.398,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Exchange,720,0.656,0.582,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Exchange,Avg,0.302,0.366,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ILI,24,1.347,0.717,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ILI,36,1.25,0.778,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ILI,48,1.388,0.781,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ILI,60,1.774,0.868,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ILI,Avg,1.44,0.786,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Solar-Energy,96,,,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Solar-Energy,192,,,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Solar-Energy,336,,,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Solar-Energy,720,,,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
Solar-Energy,Avg,,,ModernTCN,donghao2024_moderntcn,ModernTCN (donghao2024_moderntcn)
ETTm1,96,0.29,0.342,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ETTm1,192,0.332,0.369,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ETTm1,336,0.366,0.392,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ETTm1,720,0.416,0.42,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ETTm1,Avg,0.351,0.381,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ETTm2,96,0.165,0.255,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ETTm2,192,0.22,0.292,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ETTm2,336,0.274,0.329,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ETTm2,720,0.362,0.385,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ETTm2,Avg,0.255,0.315,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ETTh1,96,0.37,0.399,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ETTh1,192,0.413,0.421,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ETTh1,336,0.422,0.436,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ETTh1,720,0.447,0.466,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ETTh1,Avg,0.413,0.431,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ETTh2,96,0.274,0.336,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ETTh2,192,0.339,0.379,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ETTh2,336,0.329,0.38,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ETTh2,720,0.379,0.422,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ETTh2,Avg,0.33,0.379,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Electricity,96,0.129,0.222,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Electricity,192,0.147,0.24,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Electricity,336,0.163,0.259,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Electricity,720,0.197,0.29,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Electricity,Avg,0.159,0.253,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Weather,96,0.149,0.198,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Weather,192,0.194,0.241,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Weather,336,0.245,0.282,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Weather,720,0.314,0.334,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Weather,Avg,0.226,0.264,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Traffic,96,0.36,0.249,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Traffic,192,0.379,0.256,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Traffic,336,0.392,0.264,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Traffic,720,0.432,0.286,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Traffic,Avg,0.391,0.264,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Exchange,96,0.093,0.214,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Exchange,192,0.192,0.312,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Exchange,336,0.35,0.432,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Exchange,720,0.911,0.716,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Exchange,Avg,0.387,0.419,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ILI,24,1.319,0.754,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ILI,36,1.43,0.834,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ILI,48,1.553,0.815,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ILI,60,1.47,0.788,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ILI,Avg,1.443,0.798,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Solar-Energy,96,,,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Solar-Energy,192,,,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Solar-Energy,336,,,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Solar-Energy,720,,,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
Solar-Energy,Avg,,,PatchTST,donghao2024_moderntcn,PatchTST (donghao2024_moderntcn)
ETTm1,96,0.293,0.346,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ETTm1,192,0.333,0.37,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ETTm1,336,0.369,0.392,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ETTm1,720,0.416,0.42,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ETTm1,Avg,0.35275,0.382,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ETTm2,96,0.166,0.256,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ETTm2,192,0.223,0.296,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ETTm2,336,0.274,0.329,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ETTm2,720,0.362,0.385,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ETTm2,Avg,0.25625,0.3165,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ETTh1,96,0.37,0.4,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ETTh1,192,0.413,0.429,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ETTh1,336,0.422,0.44,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ETTh1,720,0.447,0.468,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ETTh1,Avg,0.413,0.43424999999999997,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ETTh2,96,0.274,0.337,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ETTh2,192,0.341,0.382,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ETTh2,336,0.329,0.384,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ETTh2,720,0.379,0.422,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ETTh2,Avg,0.33075,0.38125000000000003,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Electricity,96,0.129,0.222,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Electricity,192,0.147,0.24,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Electricity,336,0.163,0.259,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Electricity,720,0.197,0.29,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Electricity,Avg,0.15900000000000003,0.25275,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Weather,96,0.149,0.198,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Weather,192,0.194,0.241,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Weather,336,0.245,0.282,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Weather,720,0.314,0.334,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Weather,Avg,0.22549999999999998,0.26375,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Traffic,96,0.36,0.249,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Traffic,192,0.379,0.256,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Traffic,336,0.392,0.264,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Traffic,720,0.432,0.286,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Traffic,Avg,0.39075,0.26375,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Exchange,96,,,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Exchange,192,,,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Exchange,336,,,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Exchange,720,,,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Exchange,Avg,,,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ILI,24,1.319,0.754,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ILI,36,1.579,0.87,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ILI,48,1.553,0.815,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ILI,60,1.47,0.788,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ILI,Avg,1.4802499999999998,0.8067500000000001,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Solar-Energy,96,,,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Solar-Energy,192,,,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Solar-Energy,336,,,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Solar-Energy,720,,,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
Solar-Energy,Avg,,,PatchTST/64 ,nie2023_patchtst,PatchTST/64  (nie2023_patchtst)
ETTm1,96,0.29,0.342,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ETTm1,192,0.332,0.369,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ETTm1,336,0.366,0.392,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ETTm1,720,0.42,0.424,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ETTm1,Avg,0.352,0.38175000000000003,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ETTm2,96,0.165,0.255,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ETTm2,192,0.22,0.292,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ETTm2,336,0.278,0.329,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ETTm2,720,0.367,0.385,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ETTm2,Avg,0.2575,0.31525,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ETTh1,96,0.375,0.399,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ETTh1,192,0.414,0.421,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ETTh1,336,0.431,0.436,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ETTh1,720,0.449,0.466,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ETTh1,Avg,0.41725,0.4305,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ETTh2,96,0.274,0.336,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ETTh2,192,0.339,0.379,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ETTh2,336,0.331,0.38,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ETTh2,720,0.379,0.422,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ETTh2,Avg,0.33075,0.37925000000000003,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Electricity,96,0.13,0.222,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Electricity,192,0.148,0.24,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Electricity,336,0.167,0.261,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Electricity,720,0.202,0.291,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Electricity,Avg,0.16175,0.2535,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Weather,96,0.152,0.199,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Weather,192,0.197,0.243,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Weather,336,0.249,0.283,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Weather,720,0.32,0.335,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Weather,Avg,0.22949999999999998,0.265,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Traffic,96,0.367,0.251,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Traffic,192,0.385,0.259,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Traffic,336,0.398,0.265,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Traffic,720,0.434,0.287,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Traffic,Avg,0.39599999999999996,0.2655,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Exchange,96,,,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Exchange,192,,,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Exchange,336,,,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Exchange,720,,,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Exchange,Avg,,,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ILI,24,1.522,0.814,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ILI,36,1.43,0.834,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ILI,48,1.673,0.854,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ILI,60,1.529,0.862,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ILI,Avg,1.5385,0.841,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Solar-Energy,96,,,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Solar-Energy,192,,,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Solar-Energy,336,,,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Solar-Energy,720,,,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
Solar-Energy,Avg,,,PatchTST/42,nie2023_patchtst,PatchTST/42 (nie2023_patchtst)
ETTm1,96,0.299,0.343,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ETTm1,192,0.335,0.365,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ETTm1,336,0.369,0.386,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ETTm1,720,0.425,0.421,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ETTm1,Avg,0.35700000000000004,0.37875,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ETTm2,96,0.167,0.26,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ETTm2,192,0.224,0.303,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ETTm2,336,0.281,0.342,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ETTm2,720,0.397,0.421,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ETTm2,Avg,0.26725,0.3315,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ETTh1,96,0.375,0.399,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ETTh1,192,0.405,0.416,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ETTh1,336,0.439,0.443,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ETTh1,720,0.472,0.49,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ETTh1,Avg,0.42275,0.437,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ETTh2,96,0.289,0.353,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ETTh2,192,0.383,0.418,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ETTh2,336,0.448,0.465,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ETTh2,720,0.605,0.551,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ETTh2,Avg,0.43124999999999997,0.44675,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Electricity,96,0.14,0.237,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Electricity,192,0.153,0.249,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Electricity,336,0.169,0.267,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Electricity,720,0.203,0.301,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Electricity,Avg,0.16625,0.2635,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Weather,96,0.176,0.237,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Weather,192,0.22,0.282,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Weather,336,0.265,0.319,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Weather,720,0.323,0.362,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Weather,Avg,0.246,0.29999999999999993,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Traffic,96,0.41,0.282,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Traffic,192,0.423,0.287,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Traffic,336,0.436,0.296,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Traffic,720,0.466,0.315,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Traffic,Avg,0.43374999999999997,0.295,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Exchange,96,,,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Exchange,192,,,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Exchange,336,,,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Exchange,720,,,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Exchange,Avg,,,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ILI,24,2.215,1.081,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ILI,36,1.963,0.963,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ILI,48,2.13,1.024,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ILI,60,2.368,1.096,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
ILI,Avg,,,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Solar-Energy,96,,,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Solar-Energy,192,,,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
Solar-Energy,336,,,Dlinear,nie2023_patchtst,Dlinear (nie2023_patchtst)
